year,month,anomaly,absolute
1866,11,-0.444,13.946
1866,12,-0.334,14.056
1867,1,-0.83,13.56
1867,2,0.147,14.537
1867,3,-0.783,13.607
1867,4,-0.44,13.95
1867,5,-0.746,13.644
1867,6,0.532,14.922
1867,7,-0.147,14.243
1867,8,0.017,14.407
1867,9,-0.191,14.199
1867,10,0.711,15.101
1867,11,-0.487,13.903
1867,12,-1.522,12.868
1868,1,-0.946,13.444
1868,2,-0.429,13.961
1868,3,0.269,14.659
1868,4,-0.844,13.546
1868,5,-0.136,14.254
1868,6,-0.206,14.184
1868,7,0.598,14.988
1868,8,0.063,14.453
1868,9,-0.729,13.661
1868,10,0.011,14.401
1868,11,-1.271,13.119
1868,12,-0.438,13.952
1869,1,0.434,14.824
1869,2,1.005,15.395
1869,3,0.058,14.448
1869,4,0.058,14.448
1869,5,0.333,14.723
1869,6,-0.194,14.196
1869,7,0.205,14.595
1869,8,0.202,14.592
1869,9,0.265,14.655
1869,10,-0.583,13.807
1869,11,-0.667,13.723
1869,12,-0.224,14.166
1870,1,0.603,14.993
1870,2,-0.112,14.278
1870,3,-1.07,13.32
1870,4,0.28,14.67
1870,5,0.801,15.191
1870,6,0.57,14.96
1870,7,0.23,14.62
1870,8,-0.483,13.907
1870,9,-0.606,13.784
1870,10,-0.486,13.904
1870,11,0.774,15.164
1870,12,-1.086,13.304
1871,1,-0.639,13.751
1871,2,-0.339,14.051
1871,3,0.031,14.421
1871,4,0.098,14.488
1871,5,0.089,14.479
1871,6,0.036,14.426
1871,7,0.024,14.414
1871,8,0.275,14.665
1871,9,-0.373,14.017
1871,10,-0.039,14.351
1871,11,-1.442,12.948
1871,12,-1.424,12.966
1872,1,0.248,14.638
1872,2,0.47,14.86
1872,3,-0.132,14.258
1872,4,-0.058,14.332
1872,5,0.064,14.454
1872,6,0.237,14.627
1872,7,-0.173,14.217
1872,8,-0.326,14.064
1872,9,-0.464,13.926
1872,10,0.276,14.666
1872,11,-0.233,14.157
1872,12,-0.774,13.616
1873,1,0.003,14.393
1873,2,-0.155,14.235
1873,3,0.085,14.475
1873,4,-0.348,14.042
1873,5,-0.261,14.129
1873,6,0.146,14.536
1873,7,0.06,14.45
1873,8,-0.347,14.043
1873,9,-0.692,13.698
1873,10,-0.475,13.915
1873,11,-0.631,13.759
1873,12,0.09,14.48
1874,1,-0.391,13.999
1874,2,-0.554,13.836
1874,3,-1.389,13.001
1874,4,-0.805,13.585
1874,5,-0.344,14.046
1874,6,-0.257,14.133
1874,7,-0.315,14.075
1874,8,-0.103,14.287
1874,9,-0.412,13.978
1874,10,0.898,15.288
1874,11,-1.059,13.331
1874,12,-0.044,14.346
1875,1,-1.705,12.685
1875,2,-0.935,13.455
1875,3,-0.618,13.772
1875,4,-0.913,13.477
1875,5,-0.131,14.259
1875,6,-0.275,14.115
1875,7,-0.007,14.383
1875,8,-0.186,14.204
1875,9,-0.456,13.934
1875,10,-0.46,13.93
1875,11,-1.275,13.115
1875,12,-0.636,13.754
1876,1,-0.756,13.634
1876,2,0.071,14.461
1876,3,-0.775,13.615
1876,4,-0.194,14.196
1876,5,-0.856,13.534
1876,6,-0.469,13.921
1876,7,-0.525,13.865
1876,8,-0.232,14.158
1876,9,-0.205,14.185
1876,10,-0.693,13.697
1876,11,-1.289,13.101
1876,12,-0.479,13.911
1877,1,-0.035,14.355
1877,2,0.725,15.115
1877,3,-0.49,13.9
1877,4,-0.468,13.922
1877,5,-0.703,13.687
1877,6,-0.271,14.119
1877,7,0.452,14.842
1877,8,0.961,15.351
1877,9,-0.108,14.282
1877,10,-0.574,13.816
1877,11,0.152,14.542
1877,12,0.543,14.933
1878,1,0.258,14.648
1878,2,0.966,15.356
1878,3,1.276,15.666
1878,4,0.64,15.03
1878,5,-0.511,13.879
1878,6,-0.043,14.347
1878,7,-0.129,14.261
1878,8,0.158,14.548
1878,9,-0.226,14.164
1878,10,0.225,14.615
1878,11,1.068,15.458
1878,12,0.349,14.739
1879,1,0.588,14.978
1879,2,0.074,14.464
1879,3,-0.323,14.067
1879,4,0.112,14.502
1879,5,-0.442,13.948
1879,6,-0.371,14.019
1879,7,-0.623,13.767
1879,8,-0.33,14.06
1879,9,-0.136,14.254
1879,10,-0.044,14.346
1879,11,-0.245,14.145
1879,12,-1.006,13.384
1880,1,0.269,14.659
1880,2,-0.749,13.641
1880,3,-0.484,13.906
1880,4,-0.368,14.022
1880,5,-0.317,14.073
1880,6,-0.198,14.192
1880,7,-0.189,14.201
1880,8,-0.224,14.166
1880,9,-0.202,14.188
